
* Processing the grid command...
* Setting nx to 601 to be consistent with h=50
* Setting ny to 601 to be consistent with h=50
* Setting nz to 341 to be consistent with h=50

Global grid sizes (without ghost points)
Grid         h        Nx        Ny        Nz       Points
   0        50       601       601       341    123169541
Total number of grid points (without ghost points): 1.2317e+08

Done reading input file 
 no GPUs found
----------------------------------------------------
 Making Output Directory: loh2-results/
		
... Done!
----------------------------------------------------
number of grid point  sources = 691200
number of unique g.p. sources = 82656
setup of sources done
Running on 256 MPI tasks
Using OpenMP with 1 thread per MPI task
starting at time 0 at cycle 1
Time step 1 t= 0.0083877
Time step 101 t= 0.847158
Time step 201 t= 1.68593
Time step 301 t= 2.5247
Time step 401 t= 3.36347
Time step 501 t= 4.20224
Time step 601 t= 5.04101
Time step 701 t= 5.87978
Time step 801 t= 6.71855
Time step 901 t= 7.55732
Writing ASCII USGS file, of size 1001: loh2-results/sta10.txt
Time step 1001 t= 8.39609
Time step 1073 t= 9
   Execution time, solver phase 4 minutes 58.2776 seconds 
Writing ASCII USGS file, of size 1074: loh2-results/sta10.txt

----------------------------------------
          Execution time summary 
Processor  Total      BC comm    BC phys    Scheme     Supergrid  Forcing 
221        297.91     25.268     0.64116    138.87     28.106     8.1997     
222        297.91     24.143     0.65585    139.23     27.977     8.4748     
223        297.91     22.105     1.6409     139.72     27.995     8.312      
224        297.91     20.333     1.5277     142.51     28.669     8.4211     
225        297.91     20.54      0.70204    142.84     28.737     8.4021     
226        297.91     20.257     0.6675     142.72     29.002     8.5461     
227        297.91     19.833     0.66481    142.97     29.002     8.5558     
228        297.91     20.417     0.65199    142.59     28.808     8.5158     
229        297.91     19.804     0.65122    143.36     28.797     8.4861     
230        297.91     20.657     0.65631    142.49     28.987     8.3624     
231        297.91     21.559     0.68524    141.81     29.018     8.4277     
232        297.91     20.966     0.67436    142.72     28.753     8.5029     
233        297.91     24.791     0.67117    139.41     28.198     8.4603     
234        297.91     24.983     0.65731    138.37     28.095     8.6865     
235        297.91     21.319     0.62921    140.5      28.149     7.1339     
236        297.91     20.356     0.62439    140.56     27.889     8.1892     
237        297.91     20.793     0.63953    139.95     27.972     8.1649     
238        297.91     19.731     0.6373     140.24     28.013     8.2196     
239        297.91     18.221     1.4716     140.29     28.035     8.1575     
240        297.91     14.479     4.2074     142.52     28.868     8.5243     
241        297.91     15.426     3.2275     142.92     28.837     8.569      
242        297.91     15.287     3.3068     143.19     28.927     8.3642     
243        297.91     15.673     3.2691     142.84     28.877     8.3867     
244        297.91     16.653     3.2285     141.95     28.844     8.3744     
245        297.91     15.946     3.2212     142.78     28.816     8.374      
246        297.91     15.559     3.3145     143.06     28.929     8.4179     
247        297.91     15.604     3.27       143.24     28.899     8.4139     
248        297.91     16.323     3.2129     142.79     28.707     8.4564     
249        297.91     20.058     3.1931     139.63     28.208     8.294      
250        297.91     19.794     3.011      139.23     28.059     8.3649     
251        297.91     17.042     3.0338     140.42     28.05      7.3714     
252        297.91     15.251     3.2072     140.43     28.226     8.1264     
253        297.91     15.283     3.2082     140.42     28.169     8.1251     
254        297.91     16.4       3.1597     139.86     28.065     7.6338     
255        297.91     15.589     3.9948     139.57     28.057     7.9338     
Clock tick is 1e-06 seconds
----------------------------------------

 Total running time: 306.867
